date,sales_accuracy,customer_accuracy,actual_sales,predicted_sales,actual_customers,predicted_customers
2024-11-18,81.49438646292379,93.27077392086335,69657.73,82548.3203125,287.0,267.6871211528778
2024-11-19,93.32110705669642,95.26329111361962,60385.479999999996,56352.3984375,241.0,252.41546841617674
2024-11-20,49.72250931942024,90.00601519676755,81563.54999999999,122571.65625,321.0,288.91930878162384
2024-11-21,73.52924462405133,85.96229213807318,68188.43,50138.4375,288.0,328.42859864234924
2024-11-22,78.75547402871226,94.73592196741411,66518.65,52387.078125,279.0,293.6867777109146
2024-11-23,60.19054341950481,79.24112786144966,104910.57,63146.2421875,409.0,324.0962129533291
2024-11-24,98.37203348896246,75.43883455904904,73867.92,72665.375,302.0,376.1747196316719
2024-11-25,75.68568582048549,91.20770785888331,63026.770000000004,78351.296875,269.0,245.34873414039612
2024-11-26,90.40927774249272,82.50971155690736,72079.59,65166.63671875,290.0,239.27816351503134
2024-11-27,86.68559280137198,92.27657573955024,62735.009999999995,71087.8046875,272.0,293.00771398842335
2024-11-28,99.46645512412381,97.22791407015417,74008.36,73613.4921875,308.0,299.46197533607483
2024-11-29,64.31327035017841,94.40523604333619,66106.29999999999,89697.4765625,273.0,257.7262943983078
2024-11-30,49.119004500152194,53.53113510977724,97276.70999999999,47781.3515625,407.0,217.87171989679337
2024-12-01,85.54268694829892,82.25452374105583,88185.20999999999,100934.421875,365.0,300.2290116548538
2024-12-02,50.073068896944086,61.82176015508457,68756.17,103084.015625,254.0,350.9727292060852
2024-12-03,56.04806746904008,85.01094289898099,56548.9,81403.234375,231.0,265.62472190335393
2024-12-04,76.53995977373461,94.21238081239454,73163.64,90327.859375,308.0,325.8258670978248
2024-12-05,90.08278615811119,93.37073433048585,64034.18,57683.7734375,272.0,253.9683973789215
2024-12-06,46.3561811491926,86.80151534407106,86175.45999999999,39947.65234375,365.0,316.8255310058594
2024-12-07,91.68682794925557,95.85886471877897,86898.2,79674.203125,346.0,331.67167192697525
2024-12-08,79.67447848041265,79.28022030457424,90884.41,72411.6796875,381.0,302.05763936042786
2024-12-09,67.59088371974414,76.81575644308248,62154.49,82298.2109375,296.0,364.62536092847586
2024-12-10,95.75590019087431,79.2190768652492,72932.81,69837.46875,297.0,235.28065828979015
2024-12-11,66.9713710409755,83.05040112842458,79066.51000000001,52951.92578125,332.0,275.7273317463696
2024-12-12,70.45709013894188,88.66279780302408,61690.54000000001,43465.359375,265.0,295.0435858219862
2024-12-13,95.74876555253289,93.45395122435772,78727.53,82074.421875,319.0,339.88189559429884
2024-12-14,49.646074423812735,66.34502250466261,100518.97,49903.72265625,444.0,294.571899920702
2024-12-15,63.65608075381047,85.67177526500372,95094.46,60533.40625,391.0,334.9766412861645
2024-12-16,69.2396406231159,71.73127231375469,78535.31,54377.56640625,343.0,246.0382640361786
2024-12-17,69.99148097359512,65.68644819365944,75888.22,53115.2890625,314.0,206.25544732809067
2024-12-18,56.11376770925982,67.78285632817409,94285.42,52907.1015625,390.0,264.35313967987895
2024-12-19,72.36091540488124,96.46219290183775,76358.07,55253.3984375,318.0,329.25022657215595
2024-12-20,72.78448891738618,89.51446016629536,89856.51,65401.6015625,378.0,417.6353405714035
2024-12-21,64.67048462224011,42.00313803272769,82202.48,53160.7421875,329.0,519.8096758723259
2024-12-22,38.0335150119483,55.21969714961445,101344.94,38545.04296875,401.0,580.5690144300461
2024-12-23,49.064264998198304,47.83488171375715,79175.01,38846.63671875,325.0,494.53663443028927
2024-12-24,48.36956187503764,87.52253406998739,89838.41,43454.4453125,346.0,389.1720321178436
2024-12-25,94.36625926468044,92.10495497539358,101453.85,95738.203125,424.0,390.5250090956688
2024-12-26,52.89190992095725,74.3221336743647,73288.19,38763.5234375,297.0,373.26326298713684
2024-12-27,16.626698834612142,71.88551301222581,81900.62999999999,13617.37109375,325.0,233.6279172897339
2024-12-28,27.043674529363244,94.45187640560549,83331.25,22535.83203125,354.0,373.64035752415657
2024-12-29,39.743517769264926,83.06527001192006,98937.97,39321.4296875,419.0,489.95651865005493
2024-12-30,90.13784971873227,54.433688467362856,78780.81,71011.328125,331.0,481.82449117302895
2024-12-31,67.68347670865737,72.47608220854471,87282.85999999999,59076.07421875,344.0,438.6822772026062
2025-01-01,84.89273692679406,96.39119845826913,99746.0,84677.109375,391.0,405.1104140281677
2025-01-02,97.44035757053273,79.49485527463706,78772.98999999999,80789.296875,332.0,400.07708048820496
2025-01-03,42.61697562452608,69.43976497844265,104356.33,44473.51171875,415.0,288.175024660537
2025-01-04,71.78340085899518,60.306924623800505,139050.84,99815.421875,564.0,340.13105487823486
2025-01-05,0.0,69.21691964813371,106271.42,448880.5,441.0,576.7533843517303
2025-01-06,37.21347226921169,70.43110872262844,82672.19,134579.1875,327.0,423.690274477005
2025-01-07,0.0,93.61740892785359,94364.99,266896.28125,403.0,377.27815797924995
2025-01-08,0.0,16.7432485241185,92851.45999999999,204630.8125,361.0,661.5568728279322
2025-01-09,0.0,57.56628219564648,86436.95,291954.40625,368.0,524.156081520021
2025-01-10,99.44260439112007,88.24399865069095,103167.29999999999,102592.25,422.0,471.61032569408417
2025-01-11,74.67408227641982,86.25269290977167,118064.69,147965.65625,467.0,402.8000758886337
2025-01-12,42.61307352619678,80.22925666390924,110236.90000000001,173498.46875,451.0,540.1660524457693
2025-01-13,14.539035729371335,83.62172751509574,84280.8,156307.984375,356.0,414.30665004625916
2025-01-14,0.0,47.28881485454668,79052.35,288031.25,317.0,484.09445691108704
2025-01-15,0.0,33.72269740673838,94117.4,217256.4375,388.0,645.1559340618551
2025-01-16,69.0249627216219,70.81930785437964,122537.51999999999,160493.5625,479.0,618.7755153775215
2025-01-17,63.582286197885765,62.8445283308592,118563.13999999998,161741.125,449.0,615.8280677944422
2025-01-18,41.07770162077937,65.81271681660101,124559.20999999999,197952.359375,475.0,637.3895951211452
2025-01-19,69.89076408063445,67.58132220477863,125875.72,163775.9375,538.0,712.412486538291
2025-01-20,49.790405664698326,87.77447006437514,105562.55,158565.078125,450.0,505.0148847103119
2025-01-21,0.0,49.251314881138306,95945.65,211767.625,390.0,587.9198719635606
2025-01-22,3.0560872139518693,24.454678617530135,97383.96,191791.78125,398.0,698.6703791022301
2025-01-23,0.0,0.0,107818.57,395286.0625,442.0,964.9221603684127
2025-01-24,0.0,40.69300724735743,94167.35999999999,657826.875,395.0,629.2626213729382
